,Ann. Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,Calmar
Macro Systematic,2.26,2.78,0.811,1.028,-7.67,0.294
Combined Portfolio,0.87,1.17,0.747,0.8,-2.98,0.292
